organisationunitname,variable,value,gender,age,type
Anmer Dispensary,Currently on ART ,1,2,0,1
Cardinal Otunga Health Centre,Currently on ART ,1,2,0,1
Gathanga Health Centre,Currently on ART ,1,2,0,1
Githunguri Health Centre,Currently on ART ,1,2,0,1
Immaculate Heart of Mary Hospital,Currently on ART ,1,2,0,1
Kiambu County Referal Hospital,Currently on ART ,2,2,0,1
Lari Level 4 Hospital,Currently on ART ,2,2,0,1
Lusigetti sub-county hospital,Currently on ART ,1,2,0,1
Makongeni Dispensary,Currently on ART ,1,2,0,1
Munyu Health Centre,Currently on ART ,2,2,0,1
Ngoliba Health Centre,Currently on ART ,1,2,0,1
Wangige Sub-County Hospital,Currently on ART ,1,2,0,1
Abundant Medical Clinic,Currently on ART - Female above 15 years,6,1,2,1
Anmer Dispensary,Currently on ART - Female above 15 years,30,1,2,1
Avenue Healthcare (Thika),Currently on ART - Female above 15 years,14,1,2,1
Beta Care Nursing Home,Currently on ART - Female above 15 years,73,1,2,1
Boore Clinic,Currently on ART - Female above 15 years,21,1,2,1
Cardinal Otunga Health Centre,Currently on ART - Female above 15 years,235,1,2,1
Cianda Dispensary,Currently on ART - Female above 15 years,34,1,2,1
Equity Afya Medical Clinic Thika,Currently on ART - Female above 15 years,4,1,2,1
Family Health Options Kenya Clinic,Currently on ART - Female above 15 years,157,1,2,1
Gachege Dispensary,Currently on ART - Female above 15 years,43,1,2,1
Gachororo Health Centre,Currently on ART - Female above 15 years,136,1,2,1
Gakoe Health Centre,Currently on ART - Female above 15 years,118,1,2,1
Gathanga Health Centre,Currently on ART - Female above 15 years,81,1,2,1
Gawa Medical Clinic,Currently on ART - Female above 15 years,26,1,2,1
Gichuru Dispensary,Currently on ART - Female above 15 years,202,1,2,1
Gitare Health Centre (Gatundu),Currently on ART - Female above 15 years,111,1,2,1
Githiga Health Centre,Currently on ART - Female above 15 years,110,1,2,1
Githunguri Health Centre,Currently on ART - Female above 15 years,563,1,2,1
Githunguri Health Centre (Ruiru),Currently on ART - Female above 15 years,205,1,2,1
GSU Dispensary (Ruiru),Currently on ART - Female above 15 years,22,1,2,1
Hamundia Health Centre,Currently on ART - Female above 15 years,109,1,2,1
Holy Cross Dispensary,Currently on ART - Female above 15 years,199,1,2,1
Holy family Catholic Hospital (Githunguri),Currently on ART - Female above 15 years,474,1,2,1
Igegania Sub-County Hospital,Currently on ART - Female above 15 years,448,1,2,1
Immaculate Heart of Mary Hospital,Currently on ART - Female above 15 years,170,1,2,1
JKUAT Hospital,Currently on ART - Female above 15 years,380,1,2,1
Juja Farm Health Centre,Currently on ART - Female above 15 years,81,1,2,1
Kagaa Health Centre,Currently on ART - Female above 15 years,14,1,2,1
Kagwe Dispensary,Currently on ART - Female above 15 years,81,1,2,1
Kalimoni Mission Hospital (Juja),Currently on ART - Female above 15 years,222,1,2,1
Karatu health centre,Currently on ART - Female above 15 years,122,1,2,1
Karuri Level 4 Hospital,Currently on ART - Female above 15 years,455,1,2,1
Kiambu County Referal Hospital,Currently on ART - Female above 15 years,1978,1,2,1
Kiandutu Health Centre,Currently on ART - Female above 15 years,645,1,2,1
Kigumo Health Centre (Kiambu East),Currently on ART - Female above 15 years,256,1,2,1
Kihara Sub County Hospital,Currently on ART - Female above 15 years,400,1,2,1
Kijabe (AIC) Hospital,Currently on ART - Female above 15 years,591,1,2,1
Kijabe (AIC) Hospital Marira Medical Clinic,Currently on ART - Female above 15 years,866,1,2,1
Kikuyu (PCEA) Hospital,Currently on ART - Female above 15 years,1321,1,2,1
Kinale Forest Dispensary,Currently on ART - Female above 15 years,4,1,2,1
Lang'ata Health Centre (Ruiru),Currently on ART - Female above 15 years,258,1,2,1
Lari Level 4 Hospital,Currently on ART - Female above 15 years,288,1,2,1
Limuru Health Centre,Currently on ART - Female above 15 years,208,1,2,1
Limuru Nursing Home,Currently on ART - Female above 15 years,15,1,2,1
Lusigetti sub-county hospital,Currently on ART - Female above 15 years,153,1,2,1
LVCT Health Thika,Currently on ART - Female above 15 years,98,1,2,1
Makongeni Dispensary,Currently on ART - Female above 15 years,273,1,2,1
Mary Help of The Sick Hospital,Currently on ART - Female above 15 years,263,1,2,1
Miguta Community Dispensary,Currently on ART - Female above 15 years,36,1,2,1
Munyu Health Centre,Currently on ART - Female above 15 years,101,1,2,1
Nazareth Hospital,Currently on ART - Female above 15 years,1120,1,2,1
Nazareth Hospital (Ruiru),Currently on ART - Female above 15 years,345,1,2,1
Ndeiya Health Centre,Currently on ART - Female above 15 years,66,1,2,1
Ngenda Health Centre,Currently on ART - Female above 15 years,187,1,2,1
Ngewa Health Centre,Currently on ART - Female above 15 years,174,1,2,1
Ngoliba Health Centre,Currently on ART - Female above 15 years,454,1,2,1
Ngorongo Health Centre,Currently on ART - Female above 15 years,121,1,2,1
Nyathuna Level 4 Hospital,Currently on ART - Female above 15 years,106,1,2,1
Partners In Prevention,Currently on ART - Female above 15 years,44,1,2,1
Ruiru Hospital Limited,Currently on ART - Female above 15 years,24,1,2,1
Ruiru Sub-County Hospital,Currently on ART - Female above 15 years,1810,1,2,1
Sacred Heart Dispensary,Currently on ART - Female above 15 years,434,1,2,1
Seth Medical Clinic,Currently on ART - Female above 15 years,15,1,2,1
St Angela Melici Health Centre,Currently on ART - Female above 15 years,29,1,2,1
St Charles Lwanga Dispensary,Currently on ART - Female above 15 years,221,1,2,1
St Joseph Catholic Dispensary (Ruiru),Currently on ART - Female above 15 years,241,1,2,1
St Mulumba Mission Hospital,Currently on ART - Female above 15 years,628,1,2,1
Thika Level 5 Hospital,Currently on ART - Female above 15 years,2948,1,2,1
Thika Nursing Home,Currently on ART - Female above 15 years,95,1,2,1
Thika Sasa Centre,Currently on ART - Female above 15 years,8,1,2,1
Tigoni District Hospital,Currently on ART - Female above 15 years,717,1,2,1
Tinganga Catholic Dispensary,Currently on ART - Female above 15 years,289,1,2,1
Uthiru Health Centre,Currently on ART - Female above 15 years,129,1,2,1
Wangige Sub-County Hospital,Currently on ART - Female above 15 years,462,1,2,1
Anmer Dispensary,Currently on ART - Female Below 15 years,2,1,3,1
Cardinal Otunga Health Centre,Currently on ART - Female Below 15 years,11,1,3,1
Cianda Dispensary,Currently on ART - Female Below 15 years,3,1,3,1
Family Health Options Kenya Clinic,Currently on ART - Female Below 15 years,1,1,3,1
Gachororo Health Centre,Currently on ART - Female Below 15 years,3,1,3,1
Gakoe Health Centre,Currently on ART - Female Below 15 years,8,1,3,1
Gathanga Health Centre,Currently on ART - Female Below 15 years,4,1,3,1
Gichuru Dispensary,Currently on ART - Female Below 15 years,3,1,3,1
Gitare Health Centre (Gatundu),Currently on ART - Female Below 15 years,9,1,3,1
Githiga Health Centre,Currently on ART - Female Below 15 years,9,1,3,1
Githunguri Health Centre,Currently on ART - Female Below 15 years,31,1,3,1
Githunguri Health Centre (Ruiru),Currently on ART - Female Below 15 years,14,1,3,1
Hamundia Health Centre,Currently on ART - Female Below 15 years,4,1,3,1
Holy Cross Dispensary,Currently on ART - Female Below 15 years,8,1,3,1
Holy family Catholic Hospital (Githunguri),Currently on ART - Female Below 15 years,26,1,3,1
Igegania Sub-County Hospital,Currently on ART - Female Below 15 years,13,1,3,1
Immaculate Heart of Mary Hospital,Currently on ART - Female Below 15 years,36,1,3,1
JKUAT Hospital,Currently on ART - Female Below 15 years,14,1,3,1
Juja Farm Health Centre,Currently on ART - Female Below 15 years,7,1,3,1
Kagaa Health Centre,Currently on ART - Female Below 15 years,1,1,3,1
Kagwe Dispensary,Currently on ART - Female Below 15 years,3,1,3,1
Kalimoni Mission Hospital (Juja),Currently on ART - Female Below 15 years,9,1,3,1
Karatu health centre,Currently on ART - Female Below 15 years,6,1,3,1
Karuri Level 4 Hospital,Currently on ART - Female Below 15 years,13,1,3,1
Kiambu County Referal Hospital,Currently on ART - Female Below 15 years,63,1,3,1
Kiandutu Health Centre,Currently on ART - Female Below 15 years,22,1,3,1
Kigumo Health Centre (Kiambu East),Currently on ART - Female Below 15 years,13,1,3,1
Kihara Sub County Hospital,Currently on ART - Female Below 15 years,10,1,3,1
Kijabe (AIC) Hospital,Currently on ART - Female Below 15 years,17,1,3,1
Kijabe (AIC) Hospital Marira Medical Clinic,Currently on ART - Female Below 15 years,31,1,3,1
Kikuyu (PCEA) Hospital,Currently on ART - Female Below 15 years,41,1,3,1
Lang'ata Health Centre (Ruiru),Currently on ART - Female Below 15 years,7,1,3,1
Lari Level 4 Hospital,Currently on ART - Female Below 15 years,13,1,3,1
Limuru Health Centre,Currently on ART - Female Below 15 years,6,1,3,1
Lusigetti sub-county hospital,Currently on ART - Female Below 15 years,4,1,3,1
Makongeni Dispensary,Currently on ART - Female Below 15 years,25,1,3,1
Mary Help of The Sick Hospital,Currently on ART - Female Below 15 years,7,1,3,1
Miguta Community Dispensary,Currently on ART - Female Below 15 years,3,1,3,1
Munyu Health Centre,Currently on ART - Female Below 15 years,9,1,3,1
Nazareth Hospital,Currently on ART - Female Below 15 years,30,1,3,1
Nazareth Hospital (Ruiru),Currently on ART - Female Below 15 years,6,1,3,1
Ndeiya Health Centre,Currently on ART - Female Below 15 years,6,1,3,1
Ngenda Health Centre,Currently on ART - Female Below 15 years,16,1,3,1
Ngewa Health Centre,Currently on ART - Female Below 15 years,3,1,3,1
Ngoliba Health Centre,Currently on ART - Female Below 15 years,17,1,3,1
Ngorongo Health Centre,Currently on ART - Female Below 15 years,8,1,3,1
Nyathuna Level 4 Hospital,Currently on ART - Female Below 15 years,2,1,3,1
Ruiru Sub-County Hospital,Currently on ART - Female Below 15 years,50,1,3,1
Sacred Heart Dispensary,Currently on ART - Female Below 15 years,9,1,3,1
St Angela Melici Health Centre,Currently on ART - Female Below 15 years,2,1,3,1
St Charles Lwanga Dispensary,Currently on ART - Female Below 15 years,16,1,3,1
St Joseph Catholic Dispensary (Ruiru),Currently on ART - Female Below 15 years,5,1,3,1
St Mulumba Mission Hospital,Currently on ART - Female Below 15 years,11,1,3,1
Thika Level 5 Hospital,Currently on ART - Female Below 15 years,120,1,3,1
Tigoni District Hospital,Currently on ART - Female Below 15 years,25,1,3,1
Tinganga Catholic Dispensary,Currently on ART - Female Below 15 years,13,1,3,1
Uthiru Health Centre,Currently on ART - Female Below 15 years,1,1,3,1
Wangige Sub-County Hospital,Currently on ART - Female Below 15 years,19,1,3,1
Abundant Medical Clinic,Currently on ART - Male above 15 years,5,0,2,1
Anmer Dispensary,Currently on ART - Male above 15 years,13,0,2,1
Avenue Healthcare (Thika),Currently on ART - Male above 15 years,12,0,2,1
Beta Care Nursing Home,Currently on ART - Male above 15 years,19,0,2,1
Boore Clinic,Currently on ART - Male above 15 years,16,0,2,1
Cardinal Otunga Health Centre,Currently on ART - Male above 15 years,89,0,2,1
Cianda Dispensary,Currently on ART - Male above 15 years,28,0,2,1
Equity Afya Medical Clinic Thika,Currently on ART - Male above 15 years,4,0,2,1
Family Health Options Kenya Clinic,Currently on ART - Male above 15 years,86,0,2,1
Gachege Dispensary,Currently on ART - Male above 15 years,27,0,2,1
Gachororo Health Centre,Currently on ART - Male above 15 years,60,0,2,1
Gakoe Health Centre,Currently on ART - Male above 15 years,49,0,2,1
Gathanga Health Centre,Currently on ART - Male above 15 years,42,0,2,1
Gawa Medical Clinic,Currently on ART - Male above 15 years,4,0,2,1
Gichuru Dispensary,Currently on ART - Male above 15 years,100,0,2,1
Gitare Health Centre (Gatundu),Currently on ART - Male above 15 years,40,0,2,1
Githiga Health Centre,Currently on ART - Male above 15 years,66,0,2,1
Githunguri Health Centre,Currently on ART - Male above 15 years,255,0,2,1
Githunguri Health Centre (Ruiru),Currently on ART - Male above 15 years,49,0,2,1
GSU Dispensary (Ruiru),Currently on ART - Male above 15 years,9,0,2,1
Hamundia Health Centre,Currently on ART - Male above 15 years,31,0,2,1
Holy Cross Dispensary,Currently on ART - Male above 15 years,93,0,2,1
Holy family Catholic Hospital (Githunguri),Currently on ART - Male above 15 years,220,0,2,1
Igegania Sub-County Hospital,Currently on ART - Male above 15 years,152,0,2,1
Immaculate Heart of Mary Hospital,Currently on ART - Male above 15 years,130,0,2,1
JKUAT Hospital,Currently on ART - Male above 15 years,207,0,2,1
Juja Farm Health Centre,Currently on ART - Male above 15 years,61,0,2,1
Kagaa Health Centre,Currently on ART - Male above 15 years,1,0,2,1
Kagwe Dispensary,Currently on ART - Male above 15 years,24,0,2,1
Kalimoni Mission Hospital (Juja),Currently on ART - Male above 15 years,102,0,2,1
Karatu health centre,Currently on ART - Male above 15 years,63,0,2,1
Karuri Level 4 Hospital,Currently on ART - Male above 15 years,180,0,2,1
Kiambu County Referal Hospital,Currently on ART - Male above 15 years,916,0,2,1
Kiandutu Health Centre,Currently on ART - Male above 15 years,184,0,2,1
Kigumo Health Centre (Kiambu East),Currently on ART - Male above 15 years,111,0,2,1
Kihara Sub County Hospital,Currently on ART - Male above 15 years,208,0,2,1
Kijabe (AIC) Hospital,Currently on ART - Male above 15 years,290,0,2,1
Kijabe (AIC) Hospital Marira Medical Clinic,Currently on ART - Male above 15 years,420,0,2,1
Kikuyu (PCEA) Hospital,Currently on ART - Male above 15 years,693,0,2,1
Lang'ata Health Centre (Ruiru),Currently on ART - Male above 15 years,191,0,2,1
Lari Level 4 Hospital,Currently on ART - Male above 15 years,152,0,2,1
Limuru Health Centre,Currently on ART - Male above 15 years,98,0,2,1
Limuru Nursing Home,Currently on ART - Male above 15 years,10,0,2,1
Lusigetti sub-county hospital,Currently on ART - Male above 15 years,86,0,2,1
LVCT Health Thika,Currently on ART - Male above 15 years,89,0,2,1
Makongeni Dispensary,Currently on ART - Male above 15 years,116,0,2,1
Mary Help of The Sick Hospital,Currently on ART - Male above 15 years,89,0,2,1
Miguta Community Dispensary,Currently on ART - Male above 15 years,25,0,2,1
Munyu Health Centre,Currently on ART - Male above 15 years,40,0,2,1
Nazareth Hospital,Currently on ART - Male above 15 years,594,0,2,1
Nazareth Hospital (Ruiru),Currently on ART - Male above 15 years,159,0,2,1
Ndeiya Health Centre,Currently on ART - Male above 15 years,65,0,2,1
Ngenda Health Centre,Currently on ART - Male above 15 years,68,0,2,1
Ngewa Health Centre,Currently on ART - Male above 15 years,88,0,2,1
Ngoliba Health Centre,Currently on ART - Male above 15 years,158,0,2,1
Ngorongo Health Centre,Currently on ART - Male above 15 years,57,0,2,1
Nyathuna Level 4 Hospital,Currently on ART - Male above 15 years,50,0,2,1
Partners In Prevention,Currently on ART - Male above 15 years,30,0,2,1
Ruiru Hospital Limited,Currently on ART - Male above 15 years,4,0,2,1
Ruiru Sub-County Hospital,Currently on ART - Male above 15 years,759,0,2,1
Sacred Heart Dispensary,Currently on ART - Male above 15 years,190,0,2,1
Seth Medical Clinic,Currently on ART - Male above 15 years,9,0,2,1
St Angela Melici Health Centre,Currently on ART - Male above 15 years,11,0,2,1
St Charles Lwanga Dispensary,Currently on ART - Male above 15 years,110,0,2,1
St Joseph Catholic Dispensary (Ruiru),Currently on ART - Male above 15 years,97,0,2,1
St Mulumba Mission Hospital,Currently on ART - Male above 15 years,328,0,2,1
Thika Level 5 Hospital,Currently on ART - Male above 15 years,1271,0,2,1
Thika Nursing Home,Currently on ART - Male above 15 years,45,0,2,1
Thika Sasa Centre,Currently on ART - Male above 15 years,3,0,2,1
Tigoni District Hospital,Currently on ART - Male above 15 years,329,0,2,1
Tinganga Catholic Dispensary,Currently on ART - Male above 15 years,105,0,2,1
Uthiru Health Centre,Currently on ART - Male above 15 years,48,0,2,1
Wangige Sub-County Hospital,Currently on ART - Male above 15 years,193,0,2,1
Beta Care Nursing Home,Currently on ART - Male below 15 years,3,0,3,1
Cardinal Otunga Health Centre,Currently on ART - Male below 15 years,11,0,3,1
Cianda Dispensary,Currently on ART - Male below 15 years,2,0,3,1
Family Health Options Kenya Clinic,Currently on ART - Male below 15 years,2,0,3,1
