organisationunitname,variable,value,gender,age,type
Gachege Dispensary,Currently on ART - Male below 15 years,3,0,3,1
Gachororo Health Centre,Currently on ART - Male below 15 years,6,0,3,1
Gakoe Health Centre,Currently on ART - Male below 15 years,4,0,3,1
Gathanga Health Centre,Currently on ART - Male below 15 years,6,0,3,1
Gichuru Dispensary,Currently on ART - Male below 15 years,2,0,3,1
Gitare Health Centre (Gatundu),Currently on ART - Male below 15 years,7,0,3,1
Githiga Health Centre,Currently on ART - Male below 15 years,9,0,3,1
Githunguri Health Centre,Currently on ART - Male below 15 years,25,0,3,1
Githunguri Health Centre (Ruiru),Currently on ART - Male below 15 years,9,0,3,1
Hamundia Health Centre,Currently on ART - Male below 15 years,6,0,3,1
Holy Cross Dispensary,Currently on ART - Male below 15 years,10,0,3,1
Holy family Catholic Hospital (Githunguri),Currently on ART - Male below 15 years,17,0,3,1
Igegania Sub-County Hospital,Currently on ART - Male below 15 years,14,0,3,1
Immaculate Heart of Mary Hospital,Currently on ART - Male below 15 years,18,0,3,1
JKUAT Hospital,Currently on ART - Male below 15 years,10,0,3,1
Juja Farm Health Centre,Currently on ART - Male below 15 years,3,0,3,1
Kagwe Dispensary,Currently on ART - Male below 15 years,1,0,3,1
Kalimoni Mission Hospital (Juja),Currently on ART - Male below 15 years,11,0,3,1
Karatu health centre,Currently on ART - Male below 15 years,10,0,3,1
Karuri Level 4 Hospital,Currently on ART - Male below 15 years,16,0,3,1
Kiambu County Referal Hospital,Currently on ART - Male below 15 years,83,0,3,1
Kiandutu Health Centre,Currently on ART - Male below 15 years,26,0,3,1
Kigumo Health Centre (Kiambu East),Currently on ART - Male below 15 years,12,0,3,1
Kihara Sub County Hospital,Currently on ART - Male below 15 years,13,0,3,1
Kijabe (AIC) Hospital,Currently on ART - Male below 15 years,23,0,3,1
Kijabe (AIC) Hospital Marira Medical Clinic,Currently on ART - Male below 15 years,31,0,3,1
Kikuyu (PCEA) Hospital,Currently on ART - Male below 15 years,36,0,3,1
Lang'ata Health Centre (Ruiru),Currently on ART - Male below 15 years,8,0,3,1
Lari Level 4 Hospital,Currently on ART - Male below 15 years,13,0,3,1
Limuru Health Centre,Currently on ART - Male below 15 years,7,0,3,1
Lusigetti sub-county hospital,Currently on ART - Male below 15 years,6,0,3,1
Makongeni Dispensary,Currently on ART - Male below 15 years,5,0,3,1
Mary Help of The Sick Hospital,Currently on ART - Male below 15 years,10,0,3,1
Miguta Community Dispensary,Currently on ART - Male below 15 years,2,0,3,1
Munyu Health Centre,Currently on ART - Male below 15 years,7,0,3,1
Nazareth Hospital,Currently on ART - Male below 15 years,24,0,3,1
Nazareth Hospital (Ruiru),Currently on ART - Male below 15 years,7,0,3,1
Ndeiya Health Centre,Currently on ART - Male below 15 years,4,0,3,1
Ngenda Health Centre,Currently on ART - Male below 15 years,7,0,3,1
Ngewa Health Centre,Currently on ART - Male below 15 years,9,0,3,1
Ngoliba Health Centre,Currently on ART - Male below 15 years,21,0,3,1
Ngorongo Health Centre,Currently on ART - Male below 15 years,4,0,3,1
Nyathuna Level 4 Hospital,Currently on ART - Male below 15 years,2,0,3,1
Ruiru Sub-County Hospital,Currently on ART - Male below 15 years,60,0,3,1
Sacred Heart Dispensary,Currently on ART - Male below 15 years,9,0,3,1
St Angela Melici Health Centre,Currently on ART - Male below 15 years,4,0,3,1
St Charles Lwanga Dispensary,Currently on ART - Male below 15 years,17,0,3,1
St Joseph Catholic Dispensary (Ruiru),Currently on ART - Male below 15 years,6,0,3,1
St Mulumba Mission Hospital,Currently on ART - Male below 15 years,18,0,3,1
Thika Level 5 Hospital,Currently on ART - Male below 15 years,116,0,3,1
Tigoni District Hospital,Currently on ART - Male below 15 years,29,0,3,1
Tinganga Catholic Dispensary,Currently on ART - Male below 15 years,12,0,3,1
Uthiru Health Centre,Currently on ART - Male below 15 years,5,0,3,1
Wangige Sub-County Hospital,Currently on ART - Male below 15 years,24,0,3,1
Anmer Dispensary,MOH 731   On ART,1,2,0,0
Gathanga Health Centre,MOH 731   On ART,1,2,0,0
Githunguri Health Centre,MOH 731   On ART,1,2,0,0
Karuri Level 4 Hospital,MOH 731   On ART,2,2,0,0
Kiambu County Referal Hospital,MOH 731   On ART,2,2,0,0
Kikuyu (PCEA) Hospital,MOH 731   On ART,1,2,0,0
Lari Level 4 Hospital,MOH 731   On ART,2,2,0,0
Lusigetti sub-county hospital,MOH 731   On ART,1,2,0,0
Makongeni Dispensary,MOH 731   On ART,1,2,0,0
Munyu Health Centre,MOH 731   On ART,2,2,0,0
Nazareth Hospital,MOH 731   On ART,2,2,0,0
Ngoliba Health Centre,MOH 731   On ART,2,2,0,0
Sacred Heart Dispensary,MOH 731   On ART,2,2,0,0
Tigoni District Hospital,MOH 731   On ART,1,2,0,0
Wangige Sub-County Hospital,MOH 731   On ART,1,2,0,0
Anmer Dispensary,MOH 731   On ART,1,2,1,0
Beta Care Nursing Home,MOH 731   On ART,1,2,1,0
Cardinal Otunga Health Centre,MOH 731   On ART,6,2,1,0
Cianda Dispensary,MOH 731   On ART,5,2,1,0
Family Health Options Kenya Clinic,MOH 731   On ART,2,2,1,0
Gachororo Health Centre,MOH 731   On ART,6,2,1,0
Gakoe Health Centre,MOH 731   On ART,4,2,1,0
Gathanga Health Centre,MOH 731   On ART,8,2,1,0
Gatundu district hospital,MOH 731   On ART,41,2,1,0
Gichuru Dispensary,MOH 731   On ART,5,2,1,0
Gitare Health Centre (Gatundu),MOH 731   On ART,9,2,1,0
Githiga Health Centre,MOH 731   On ART,9,2,1,0
Githunguri Health Centre,MOH 731   On ART,18,2,1,0
Githunguri Health Centre (Ruiru),MOH 731   On ART,9,2,1,0
Hamundia Health Centre,MOH 731   On ART,5,2,1,0
Holy Cross Dispensary,MOH 731   On ART,5,2,1,0
Holy family Catholic Hospital (Githunguri),MOH 731   On ART,5,2,1,0
Igegania Sub-County Hospital,MOH 731   On ART,13,2,1,0
Immaculate Heart of Mary Hospital,MOH 731   On ART,14,2,1,0
JKUAT Hospital,MOH 731   On ART,12,2,1,0
Juja Farm Health Centre,MOH 731   On ART,4,2,1,0
Kagaa Health Centre,MOH 731   On ART,1,2,1,0
Kagwe Dispensary,MOH 731   On ART,3,2,1,0
Kalimoni Mission Hospital (Juja),MOH 731   On ART,18,2,1,0
Karatu health centre,MOH 731   On ART,7,2,1,0
Karura (SDA) Dispensary,MOH 731   On ART,5,2,1,0
Karuri Level 4 Hospital,MOH 731   On ART,14,2,1,0
Kiambu County Referal Hospital,MOH 731   On ART,63,2,1,0
Kiandutu Health Centre,MOH 731   On ART,27,2,1,0
Kigumo Health Centre (Kiambu East),MOH 731   On ART,12,2,1,0
Kihara Sub County Hospital,MOH 731   On ART,15,2,1,0
Kijabe (AIC) Hospital,MOH 731   On ART,10,2,1,0
Kijabe (AIC) Hospital Marira Medical Clinic,MOH 731   On ART,20,2,1,0
Kikuyu (PCEA) Hospital,MOH 731   On ART,33,2,1,0
Lang'ata Health Centre (Ruiru),MOH 731   On ART,11,2,1,0
Lari Level 4 Hospital,MOH 731   On ART,14,2,1,0
Limuru Health Centre,MOH 731   On ART,11,2,1,0
Lusigetti sub-county hospital,MOH 731   On ART,7,2,1,0
Makongeni Dispensary,MOH 731   On ART,30,2,1,0
Miguta Community Dispensary,MOH 731   On ART,2,2,1,0
Munyu Health Centre,MOH 731   On ART,7,2,1,0
Nazareth Hospital,MOH 731   On ART,20,2,1,0
Nazareth Hospital (Ruiru),MOH 731   On ART,4,2,1,0
Ndeiya Health Centre,MOH 731   On ART,5,2,1,0
Ngenda Health Centre,MOH 731   On ART,9,2,1,0
Ngewa Health Centre,MOH 731   On ART,5,2,1,0
Ngoliba Health Centre,MOH 731   On ART,17,2,1,0
Ngorongo Health Centre,MOH 731   On ART,1,2,1,0
Nyathuna Level 4 Hospital,MOH 731   On ART,2,2,1,0
Ruiru Sub-County Hospital,MOH 731   On ART,63,2,1,0
Sacred Heart Dispensary,MOH 731   On ART,10,2,1,0
St Charles Lwanga Dispensary,MOH 731   On ART,14,2,1,0
St Joseph Catholic Dispensary (Ruiru),MOH 731   On ART,5,2,1,0
St Mulumba Mission Hospital,MOH 731   On ART,19,2,1,0
Thika Level 5 Hospital,MOH 731   On ART,102,2,1,0
Tigoni District Hospital,MOH 731   On ART,25,2,1,0
Tinganga Catholic Dispensary,MOH 731   On ART,3,2,1,0
Uthiru Health Centre,MOH 731   On ART,2,2,1,0
Wangige Sub-County Hospital,MOH 731   On ART,31,2,1,0
Cardinal Otunga Health Centre,MOH 731   On ART,9,1,3,0
Gachororo Health Centre,MOH 731   On ART,3,1,3,0
Gakoe Health Centre,MOH 731   On ART,6,1,3,0
Gathanga Health Centre,MOH 731   On ART,2,1,3,0
Gatundu district hospital,MOH 731   On ART,19,1,3,0
Gitare Health Centre (Gatundu),MOH 731   On ART,5,1,3,0
Githiga Health Centre,MOH 731   On ART,4,1,3,0
Githunguri Health Centre,MOH 731   On ART,16,1,3,0
Githunguri Health Centre (Ruiru),MOH 731   On ART,7,1,3,0
Hamundia Health Centre,MOH 731   On ART,2,1,3,0
Holy Cross Dispensary,MOH 731   On ART,7,1,3,0
Holy family Catholic Hospital (Githunguri),MOH 731   On ART,22,1,3,0
Igegania Sub-County Hospital,MOH 731   On ART,9,1,3,0
Immaculate Heart of Mary Hospital,MOH 731   On ART,18,1,3,0
JKUAT Hospital,MOH 731   On ART,7,1,3,0
Juja Farm Health Centre,MOH 731   On ART,4,1,3,0
Kalimoni Mission Hospital (Juja),MOH 731   On ART,2,1,3,0
Karatu health centre,MOH 731   On ART,3,1,3,0
Karura (SDA) Dispensary,MOH 731   On ART,3,1,3,0
Karuri Level 4 Hospital,MOH 731   On ART,7,1,3,0
Kiambu County Referal Hospital,MOH 731   On ART,38,1,3,0
Kiandutu Health Centre,MOH 731   On ART,8,1,3,0
Kigumo Health Centre (Kiambu East),MOH 731   On ART,6,1,3,0
Kihara Sub County Hospital,MOH 731   On ART,2,1,3,0
Kijabe (AIC) Hospital,MOH 731   On ART,12,1,3,0
Kijabe (AIC) Hospital Marira Medical Clinic,MOH 731   On ART,22,1,3,0
Kikuyu (PCEA) Hospital,MOH 731   On ART,21,1,3,0
Lari Level 4 Hospital,MOH 731   On ART,6,1,3,0
Limuru Health Centre,MOH 731   On ART,2,1,3,0
Lusigetti sub-county hospital,MOH 731   On ART,1,1,3,0
Makongeni Dispensary,MOH 731   On ART,2,1,3,0
Miguta Community Dispensary,MOH 731   On ART,2,1,3,0
Munyu Health Centre,MOH 731   On ART,7,1,3,0
Nazareth Hospital,MOH 731   On ART,19,1,3,0
Nazareth Hospital (Ruiru),MOH 731   On ART,3,1,3,0
Ndeiya Health Centre,MOH 731   On ART,1,1,3,0
Ngenda Health Centre,MOH 731   On ART,10,1,3,0
Ngewa Health Centre,MOH 731   On ART,2,1,3,0
Ngoliba Health Centre,MOH 731   On ART,10,1,3,0
Ngorongo Health Centre,MOH 731   On ART,7,1,3,0
Nyathuna Level 4 Hospital,MOH 731   On ART,1,1,3,0
Ruiru Sub-County Hospital,MOH 731   On ART,28,1,3,0
Sacred Heart Dispensary,MOH 731   On ART,3,1,3,0
St Angela Melici Health Centre,MOH 731   On ART,2,1,3,0
St Charles Lwanga Dispensary,MOH 731   On ART,10,1,3,0
St Joseph Catholic Dispensary (Ruiru),MOH 731   On ART,2,1,3,0
St Mulumba Mission Hospital,MOH 731   On ART,3,1,3,0
Thika Level 5 Hospital,MOH 731   On ART,73,1,3,0
Tigoni District Hospital,MOH 731   On ART,11,1,3,0
Tinganga Catholic Dispensary,MOH 731   On ART,12,1,3,0
Uthiru Health Centre,MOH 731   On ART,1,1,3,0
Wangige Sub-County Hospital,MOH 731   On ART,4,1,3,0
Beta Care Nursing Home,MOH 731   On ART,2,0,3,0
Cardinal Otunga Health Centre,MOH 731   On ART,7,0,3,0
Family Health Options Kenya Clinic,MOH 731   On ART,1,0,3,0
Gachege Dispensary,MOH 731   On ART,2,0,3,0
Gakoe Health Centre,MOH 731   On ART,1,0,3,0
Gatundu district hospital,MOH 731   On ART,23,0,3,0
Gitare Health Centre (Gatundu),MOH 731   On ART,2,0,3,0
Githiga Health Centre,MOH 731   On ART,5,0,3,0
Githunguri Health Centre,MOH 731   On ART,16,0,3,0
Githunguri Health Centre (Ruiru),MOH 731   On ART,7,0,3,0
Hamundia Health Centre,MOH 731   On ART,3,0,3,0
Holy Cross Dispensary,MOH 731   On ART,6,0,3,0
Holy family Catholic Hospital (Githunguri),MOH 731   On ART,16,0,3,0
Igegania Sub-County Hospital,MOH 731   On ART,6,0,3,0
Immaculate Heart of Mary Hospital,MOH 731   On ART,14,0,3,0
JKUAT Hospital,MOH 731   On ART,5,0,3,0
Juja Farm Health Centre,MOH 731   On ART,2,0,3,0
Kagwe Dispensary,MOH 731   On ART,1,0,3,0
Kalimoni Mission Hospital (Juja),MOH 731   On ART,2,0,3,0
Karatu health centre,MOH 731   On ART,6,0,3,0
Karura (SDA) Dispensary,MOH 731   On ART,3,0,3,0
Karuri Level 4 Hospital,MOH 731   On ART,6,0,3,0
Kiambu County Referal Hospital,MOH 731   On ART,43,0,3,0
Kiandutu Health Centre,MOH 731   On ART,13,0,3,0
Kigumo Health Centre (Kiambu East),MOH 731   On ART,7,0,3,0
Kihara Sub County Hospital,MOH 731   On ART,6,0,3,0
Kijabe (AIC) Hospital,MOH 731   On ART,18,0,3,0
Kijabe (AIC) Hospital Marira Medical Clinic,MOH 731   On ART,24,0,3,0
Kikuyu (PCEA) Hospital,MOH 731   On ART,22,0,3,0
Lang'ata Health Centre (Ruiru),MOH 731   On ART,4,0,3,0
Lari Level 4 Hospital,MOH 731   On ART,4,0,3,0
Lusigetti sub-county hospital,MOH 731   On ART,2,0,3,0
Makongeni Dispensary,MOH 731   On ART,5,0,3,0
Miguta Community Dispensary,MOH 731   On ART,1,0,3,0
Munyu Health Centre,MOH 731   On ART,2,0,3,0
Nazareth Hospital,MOH 731   On ART,13,0,3,0
Nazareth Hospital (Ruiru),MOH 731   On ART,5,0,3,0
Ndeiya Health Centre,MOH 731   On ART,4,0,3,0
Ngenda Health Centre,MOH 731   On ART,3,0,3,0
Ngewa Health Centre,MOH 731   On ART,5,0,3,0
Ngoliba Health Centre,MOH 731   On ART,9,0,3,0
Ngorongo Health Centre,MOH 731   On ART,4,0,3,0
Nyathuna Level 4 Hospital,MOH 731   On ART,1,0,3,0
Ruiru Sub-County Hospital,MOH 731   On ART,18,0,3,0
Sacred Heart Dispensary,MOH 731   On ART,3,0,3,0
St Angela Melici Health Centre,MOH 731   On ART,2,0,3,0
St Charles Lwanga Dispensary,MOH 731   On ART,9,0,3,0
St Joseph Catholic Dispensary (Ruiru),MOH 731   On ART,4,0,3,0
St Mulumba Mission Hospital,MOH 731   On ART,8,0,3,0
Thika Level 5 Hospital,MOH 731   On ART,71,0,3,0
Tigoni District Hospital,MOH 731   On ART,13,0,3,0
Tinganga Catholic Dispensary,MOH 731   On ART,10,0,3,0
Uthiru Health Centre,MOH 731   On ART,3,0,3,0
Wangige Sub-County Hospital,MOH 731   On ART,7,0,3,0
Beta Care Nursing Home,MOH 731   On ART,2,1,4,0
Boore Clinic,MOH 731   On ART,1,1,4,0
Cardinal Otunga Health Centre,MOH 731   On ART,3,1,4,0
Family Health Options Kenya Clinic,MOH 731   On ART,2,1,4,0
Gachororo Health Centre,MOH 731   On ART,1,1,4,0
Gakoe Health Centre,MOH 731   On ART,5,1,4,0
Gathanga Health Centre,MOH 731   On ART,1,1,4,0
Gatundu district hospital,MOH 731   On ART,18,1,4,0
Gichuru Dispensary,MOH 731   On ART,2,1,4,0
Gitare Health Centre (Gatundu),MOH 731   On ART,7,1,4,0
Githunguri Health Centre,MOH 731   On ART,3,1,4,0
Githunguri Health Centre (Ruiru),MOH 731   On ART,5,1,4,0
GSU Dispensary (Ruiru),MOH 731   On ART,1,1,4,0
Hamundia Health Centre,MOH 731   On ART,5,1,4,0
Holy Cross Dispensary,MOH 731   On ART,11,1,4,0
Holy family Catholic Hospital (Githunguri),MOH 731   On ART,19,1,4,0
Igegania Sub-County Hospital,MOH 731   On ART,4,1,4,0
Immaculate Heart of Mary Hospital,MOH 731   On ART,5,1,4,0
JKUAT Hospital,MOH 731   On ART,11,1,4,0
Juja Farm Health Centre,MOH 731   On ART,4,1,4,0
Kagwe Dispensary,MOH 731   On ART,1,1,4,0
Kalimoni Mission Hospital (Juja),MOH 731   On ART,5,1,4,0
Karatu health centre,MOH 731   On ART,3,1,4,0
Karura (SDA) Dispensary,MOH 731   On ART,8,1,4,0
Karuri Level 4 Hospital,MOH 731   On ART,12,1,4,0
Kiambu County Referal Hospital,MOH 731   On ART,53,1,4,0
Kiandutu Health Centre,MOH 731   On ART,10,1,4,0
Kigumo Health Centre (Kiambu East),MOH 731   On ART,11,1,4,0
Kihara Sub County Hospital,MOH 731   On ART,12,1,4,0
Kijabe (AIC) Hospital,MOH 731   On ART,14,1,4,0
Kijabe (AIC) Hospital Marira Medical Clinic,MOH 731   On ART,30,1,4,0
Kikuyu (PCEA) Hospital,MOH 731   On ART,33,1,4,0
Lang'ata Health Centre (Ruiru),MOH 731   On ART,5,1,4,0
Lari Level 4 Hospital,MOH 731   On ART,6,1,4,0
Limuru Health Centre,MOH 731   On ART,4,1,4,0
Lusigetti sub-county hospital,MOH 731   On ART,1,1,4,0
LVCT Health DICE (Juja),MOH 731   On ART,2,1,4,0
LVCT Health Thika,MOH 731   On ART,1,1,4,0
Nazareth Hospital,MOH 731   On ART,18,1,4,0
Nazareth Hospital (Ruiru),MOH 731   On ART,7,1,4,0
Ngenda Health Centre,MOH 731   On ART,2,1,4,0
Ngewa Health Centre,MOH 731   On ART,6,1,4,0
Ngoliba Health Centre,MOH 731   On ART,9,1,4,0
Ngorongo Health Centre,MOH 731   On ART,2,1,4,0
Nyathuna Level 4 Hospital,MOH 731   On ART,2,1,4,0
Partners In Prevention,MOH 731   On ART,1,1,4,0
Ruiru Sub-County Hospital,MOH 731   On ART,22,1,4,0
Sacred Heart Dispensary,MOH 731   On ART,10,1,4,0
St Charles Lwanga Dispensary,MOH 731   On ART,16,1,4,0
St Joseph Catholic Dispensary (Ruiru),MOH 731   On ART,8,1,4,0
St Mulumba Mission Hospital,MOH 731   On ART,7,1,4,0
Thika Level 5 Hospital,MOH 731   On ART,62,1,4,0
Tigoni District Hospital,MOH 731   On ART,4,1,4,0
Tinganga Catholic Dispensary,MOH 731   On ART,9,1,4,0
Uthiru Health Centre,MOH 731   On ART,1,1,4,0
Wangige Sub-County Hospital,MOH 731   On ART,10,1,4,0
Cardinal Otunga Health Centre,MOH 731   On ART,5,0,4,0
Family Health Options Kenya Clinic,MOH 731   On ART,1,0,4,0
Gachege Dispensary,MOH 731   On ART,3,0,4,0
Gachororo Health Centre,MOH 731   On ART,1,0,4,0
Gakoe Health Centre,MOH 731   On ART,3,0,4,0
