organisationunitname,variable,value,gender,age,type
Gathanga Health Centre,MOH 731   On ART,1,0,4,0
Gatundu district hospital,MOH 731   On ART,20,0,4,0
Gichuru Dispensary,MOH 731   On ART,1,0,4,0
Gitare Health Centre (Gatundu),MOH 731   On ART,1,0,4,0
Githiga Health Centre,MOH 731   On ART,1,0,4,0
Githunguri Health Centre,MOH 731   On ART,3,0,4,0
Githunguri Health Centre (Ruiru),MOH 731   On ART,2,0,4,0
Hamundia Health Centre,MOH 731   On ART,1,0,4,0
Holy Cross Dispensary,MOH 731   On ART,11,0,4,0
Holy family Catholic Hospital (Githunguri),MOH 731   On ART,22,0,4,0
Igegania Sub-County Hospital,MOH 731   On ART,2,0,4,0
Immaculate Heart of Mary Hospital,MOH 731   On ART,4,0,4,0
JKUAT Hospital,MOH 731   On ART,11,0,4,0
Juja Farm Health Centre,MOH 731   On ART,4,0,4,0
Kalimoni Mission Hospital (Juja),MOH 731   On ART,3,0,4,0
Karatu health centre,MOH 731   On ART,2,0,4,0
Karura (SDA) Dispensary,MOH 731   On ART,7,0,4,0
Karuri Level 4 Hospital,MOH 731   On ART,9,0,4,0
Kiambu County Referal Hospital,MOH 731   On ART,33,0,4,0
Kiandutu Health Centre,MOH 731   On ART,6,0,4,0
Kigumo Health Centre (Kiambu East),MOH 731   On ART,3,0,4,0
Kihara Sub County Hospital,MOH 731   On ART,4,0,4,0
Kijabe (AIC) Hospital,MOH 731   On ART,15,0,4,0
Kijabe (AIC) Hospital Marira Medical Clinic,MOH 731   On ART,30,0,4,0
Kikuyu (PCEA) Hospital,MOH 731   On ART,27,0,4,0
Lang'ata Health Centre (Ruiru),MOH 731   On ART,2,0,4,0
Lari Level 4 Hospital,MOH 731   On ART,7,0,4,0
Limuru Health Centre,MOH 731   On ART,2,0,4,0
Lusigetti sub-county hospital,MOH 731   On ART,2,0,4,0
LVCT Health DICE (Juja),MOH 731   On ART,2,0,4,0
Makongeni Dispensary,MOH 731   On ART,1,0,4,0
Munyu Health Centre,MOH 731   On ART,4,0,4,0
Nazareth Hospital,MOH 731   On ART,23,0,4,0
Nazareth Hospital (Ruiru),MOH 731   On ART,7,0,4,0
Ndeiya Health Centre,MOH 731   On ART,1,0,4,0
Ngenda Health Centre,MOH 731   On ART,3,0,4,0
Ngewa Health Centre,MOH 731   On ART,3,0,4,0
Ngoliba Health Centre,MOH 731   On ART,7,0,4,0
Ngorongo Health Centre,MOH 731   On ART,2,0,4,0
Nyathuna Level 4 Hospital,MOH 731   On ART,1,0,4,0
Partners In Prevention,MOH 731   On ART,1,0,4,0
Ruiru Sub-County Hospital,MOH 731   On ART,16,0,4,0
Sacred Heart Dispensary,MOH 731   On ART,8,0,4,0
St Angela Melici Health Centre,MOH 731   On ART,1,0,4,0
St Charles Lwanga Dispensary,MOH 731   On ART,11,0,4,0
St Joseph Catholic Dispensary (Ruiru),MOH 731   On ART,2,0,4,0
St Mulumba Mission Hospital,MOH 731   On ART,13,0,4,0
Thika Level 5 Hospital,MOH 731   On ART,85,0,4,0
Tigoni District Hospital,MOH 731   On ART,5,0,4,0
Tinganga Catholic Dispensary,MOH 731   On ART,9,0,4,0
Uthiru Health Centre,MOH 731   On ART,1,0,4,0
Wangige Sub-County Hospital,MOH 731   On ART,2,0,4,0
Beta Care Nursing Home,MOH 731   On ART,3,1,5,0
Cardinal Otunga Health Centre,MOH 731   On ART,1,1,5,0
Cianda Dispensary,MOH 731   On ART,1,1,5,0
Family Health Options Kenya Clinic,MOH 731   On ART,7,1,5,0
Gachege Dispensary,MOH 731   On ART,2,1,5,0
Gachororo Health Centre,MOH 731   On ART,25,1,5,0
Gakoe Health Centre,MOH 731   On ART,6,1,5,0
Gathanga Health Centre,MOH 731   On ART,18,1,5,0
Gatundu district hospital,MOH 731   On ART,35,1,5,0
Gawa Medical Clinic,MOH 731   On ART,1,1,5,0
Gichuru Dispensary,MOH 731   On ART,27,1,5,0
Githiga Health Centre,MOH 731   On ART,8,1,5,0
Githunguri Health Centre,MOH 731   On ART,16,1,5,0
Githunguri Health Centre (Ruiru),MOH 731   On ART,18,1,5,0
GSU Dispensary (Ruiru),MOH 731   On ART,1,1,5,0
Hamundia Health Centre,MOH 731   On ART,11,1,5,0
Holy Cross Dispensary,MOH 731   On ART,6,1,5,0
Holy family Catholic Hospital (Githunguri),MOH 731   On ART,15,1,5,0
Igegania Sub-County Hospital,MOH 731   On ART,4,1,5,0
Immaculate Heart of Mary Hospital,MOH 731   On ART,2,1,5,0
JKUAT Hospital,MOH 731   On ART,10,1,5,0
Kagaa Health Centre,MOH 731   On ART,3,1,5,0
Kagwe Dispensary,MOH 731   On ART,8,1,5,0
Kalimoni Mission Hospital (Juja),MOH 731   On ART,9,1,5,0
Karatu health centre,MOH 731   On ART,5,1,5,0
Karura (SDA) Dispensary,MOH 731   On ART,4,1,5,0
Karuri Level 4 Hospital,MOH 731   On ART,18,1,5,0
Kiambu County Referal Hospital,MOH 731   On ART,82,1,5,0
Kiandutu Health Centre,MOH 731   On ART,30,1,5,0
Kigumo Health Centre (Kiambu East),MOH 731   On ART,7,1,5,0
Kihara Sub County Hospital,MOH 731   On ART,33,1,5,0
Kijabe (AIC) Hospital,MOH 731   On ART,15,1,5,0
Kijabe (AIC) Hospital Marira Medical Clinic,MOH 731   On ART,23,1,5,0
Kikuyu (PCEA) Hospital,MOH 731   On ART,36,1,5,0
Lang'ata Health Centre (Ruiru),MOH 731   On ART,48,1,5,0
Lari Level 4 Hospital,MOH 731   On ART,19,1,5,0
Limuru Health Centre,MOH 731   On ART,18,1,5,0
Limuru Nursing Home,MOH 731   On ART,2,1,5,0
Lusigetti sub-county hospital,MOH 731   On ART,17,1,5,0
LVCT Health Thika,MOH 731   On ART,5,1,5,0
Makongeni Dispensary,MOH 731   On ART,34,1,5,0
Miguta Community Dispensary,MOH 731   On ART,7,1,5,0
Munyu Health Centre,MOH 731   On ART,7,1,5,0
Nazareth Hospital,MOH 731   On ART,35,1,5,0
Nazareth Hospital (Ruiru),MOH 731   On ART,10,1,5,0
Ndeiya Health Centre,MOH 731   On ART,4,1,5,0
Ngenda Health Centre,MOH 731   On ART,6,1,5,0
Ngewa Health Centre,MOH 731   On ART,11,1,5,0
Ngoliba Health Centre,MOH 731   On ART,9,1,5,0
Ngorongo Health Centre,MOH 731   On ART,6,1,5,0
Nyathuna Level 4 Hospital,MOH 731   On ART,6,1,5,0
Ruiru Hospital Limited,MOH 731   On ART,2,1,5,0
Ruiru Sub-County Hospital,MOH 731   On ART,71,1,5,0
Sacred Heart Dispensary,MOH 731   On ART,14,1,5,0
Seth Medical Clinic,MOH 731   On ART,2,1,5,0
St Angela Melici Health Centre,MOH 731   On ART,1,1,5,0
St Charles Lwanga Dispensary,MOH 731   On ART,7,1,5,0
St Joseph Catholic Dispensary (Ruiru),MOH 731   On ART,12,1,5,0
St Mulumba Mission Hospital,MOH 731   On ART,13,1,5,0
Thika Level 5 Hospital,MOH 731   On ART,57,1,5,0
Thika Sasa Centre,MOH 731   On ART,1,1,5,0
Tigoni District Hospital,MOH 731   On ART,10,1,5,0
Tinganga Catholic Dispensary,MOH 731   On ART,3,1,5,0
Uthiru Health Centre,MOH 731   On ART,11,1,5,0
Wangige Sub-County Hospital,MOH 731   On ART,32,1,5,0
Cardinal Otunga Health Centre,MOH 731   On ART,3,0,5,0
Cianda Dispensary,MOH 731   On ART,2,0,5,0
Family Health Options Kenya Clinic,MOH 731   On ART,1,0,5,0
Gakoe Health Centre,MOH 731   On ART,2,0,5,0
Gathanga Health Centre,MOH 731   On ART,2,0,5,0
Gatundu district hospital,MOH 731   On ART,29,0,5,0
Gichuru Dispensary,MOH 731   On ART,4,0,5,0
Gitare Health Centre (Gatundu),MOH 731   On ART,3,0,5,0
Githunguri Health Centre,MOH 731   On ART,7,0,5,0
Githunguri Health Centre (Ruiru),MOH 731   On ART,1,0,5,0
Hamundia Health Centre,MOH 731   On ART,2,0,5,0
Holy Cross Dispensary,MOH 731   On ART,8,0,5,0
Holy family Catholic Hospital (Githunguri),MOH 731   On ART,11,0,5,0
Igegania Sub-County Hospital,MOH 731   On ART,4,0,5,0
Immaculate Heart of Mary Hospital,MOH 731   On ART,4,0,5,0
JKUAT Hospital,MOH 731   On ART,8,0,5,0
Juja Farm Health Centre,MOH 731   On ART,1,0,5,0
Kagwe Dispensary,MOH 731   On ART,2,0,5,0
Kalimoni Mission Hospital (Juja),MOH 731   On ART,1,0,5,0
Karatu health centre,MOH 731   On ART,1,0,5,0
Karura (SDA) Dispensary,MOH 731   On ART,1,0,5,0
Karuri Level 4 Hospital,MOH 731   On ART,7,0,5,0
Kiambu County Referal Hospital,MOH 731   On ART,42,0,5,0
Kiandutu Health Centre,MOH 731   On ART,6,0,5,0
Kigumo Health Centre (Kiambu East),MOH 731   On ART,3,0,5,0
Kihara Sub County Hospital,MOH 731   On ART,6,0,5,0
Kijabe (AIC) Hospital,MOH 731   On ART,6,0,5,0
Kijabe (AIC) Hospital Marira Medical Clinic,MOH 731   On ART,17,0,5,0
Kikuyu (PCEA) Hospital,MOH 731   On ART,23,0,5,0
Lang'ata Health Centre (Ruiru),MOH 731   On ART,35,0,5,0
Limuru Health Centre,MOH 731   On ART,7,0,5,0
Lusigetti sub-county hospital,MOH 731   On ART,2,0,5,0
LVCT Health DICE (Juja),MOH 731   On ART,11,0,5,0
LVCT Health Thika,MOH 731   On ART,16,0,5,0
Makongeni Dispensary,MOH 731   On ART,8,0,5,0
Miguta Community Dispensary,MOH 731   On ART,2,0,5,0
Nazareth Hospital,MOH 731   On ART,23,0,5,0
Nazareth Hospital (Ruiru),MOH 731   On ART,4,0,5,0
Ndeiya Health Centre,MOH 731   On ART,1,0,5,0
Ngenda Health Centre,MOH 731   On ART,3,0,5,0
Ngewa Health Centre,MOH 731   On ART,3,0,5,0
Ngoliba Health Centre,MOH 731   On ART,2,0,5,0
Ngorongo Health Centre,MOH 731   On ART,3,0,5,0
Nyathuna Level 4 Hospital,MOH 731   On ART,2,0,5,0
Ruiru Sub-County Hospital,MOH 731   On ART,17,0,5,0
Sacred Heart Dispensary,MOH 731   On ART,4,0,5,0
St Charles Lwanga Dispensary,MOH 731   On ART,8,0,5,0
St Joseph Catholic Dispensary (Ruiru),MOH 731   On ART,4,0,5,0
St Mulumba Mission Hospital,MOH 731   On ART,1,0,5,0
Thika Level 5 Hospital,MOH 731   On ART,19,0,5,0
Tigoni District Hospital,MOH 731   On ART,8,0,5,0
Tinganga Catholic Dispensary,MOH 731   On ART,7,0,5,0
Uthiru Health Centre,MOH 731   On ART,2,0,5,0
Wangige Sub-County Hospital,MOH 731   On ART,6,0,5,0
Abundant Medical Clinic,MOH 731   On ART,6,1,6,0
Anmer Dispensary,MOH 731   On ART,26,1,6,0
Avenue Healthcare (Thika),MOH 731   On ART,14,1,6,0
Beta Care Nursing Home,MOH 731   On ART,67,1,6,0
Boore Clinic,MOH 731   On ART,20,1,6,0
Cardinal Otunga Health Centre,MOH 731   On ART,235,1,6,0
Cianda Dispensary,MOH 731   On ART,41,1,6,0
Equity Afya Medical Clinic Thika,MOH 731   On ART,4,1,6,0
Family Health Options Kenya Clinic,MOH 731   On ART,154,1,6,0
Gachege Dispensary,MOH 731   On ART,37,1,6,0
Gachororo Health Centre,MOH 731   On ART,109,1,6,0
Gakoe Health Centre,MOH 731   On ART,110,1,6,0
Gathanga Health Centre,MOH 731   On ART,62,1,6,0
Gatundu district hospital,MOH 731   On ART,996,1,6,0
Gawa Medical Clinic,MOH 731   On ART,25,1,6,0
Gichuru Dispensary,MOH 731   On ART,173,1,6,0
Gitare Health Centre (Gatundu),MOH 731   On ART,104,1,6,0
Githiga Health Centre,MOH 731   On ART,100,1,6,0
Githunguri Health Centre,MOH 731   On ART,547,1,6,0
Githunguri Health Centre (Ruiru),MOH 731   On ART,174,1,6,0
GSU Dispensary (Ruiru),MOH 731   On ART,20,1,6,0
Hamundia Health Centre,MOH 731   On ART,93,1,6,0
Holy Cross Dispensary,MOH 731   On ART,182,1,6,0
Holy family Catholic Hospital (Githunguri),MOH 731   On ART,440,1,6,0
Igegania Sub-County Hospital,MOH 731   On ART,457,1,6,0
Immaculate Heart of Mary Hospital,MOH 731   On ART,206,1,6,0
JKUAT Hospital,MOH 731   On ART,359,1,6,0
Juja Farm Health Centre,MOH 731   On ART,77,1,6,0
Kagaa Health Centre,MOH 731   On ART,11,1,6,0
Kagwe Dispensary,MOH 731   On ART,72,1,6,0
Kalimoni Mission Hospital (Juja),MOH 731   On ART,213,1,6,0
Karatu health centre,MOH 731   On ART,114,1,6,0
Karura (SDA) Dispensary,MOH 731   On ART,79,1,6,0
Karuri Level 4 Hospital,MOH 731   On ART,425,1,6,0
Kiambu County Referal Hospital,MOH 731   On ART,1843,1,6,0
Kiandutu Health Centre,MOH 731   On ART,605,1,6,0
Kigumo Health Centre (Kiambu East),MOH 731   On ART,238,1,6,0
Kihara Sub County Hospital,MOH 731   On ART,355,1,6,0
Kijabe (AIC) Hospital,MOH 731   On ART,562,1,6,0
Kijabe (AIC) Hospital Marira Medical Clinic,MOH 731   On ART,813,1,6,0
Kikuyu (PCEA) Hospital,MOH 731   On ART,1252,1,6,0
Kinale Forest Dispensary,MOH 731   On ART,3,1,6,0
Lang'ata Health Centre (Ruiru),MOH 731   On ART,205,1,6,0
Lari Level 4 Hospital,MOH 731   On ART,263,1,6,0
Limuru Health Centre,MOH 731   On ART,186,1,6,0
Limuru Nursing Home,MOH 731   On ART,13,1,6,0
Lusigetti sub-county hospital,MOH 731   On ART,135,1,6,0
LVCT Health DICE (Juja),MOH 731   On ART,16,1,6,0
LVCT Health Thika,MOH 731   On ART,93,1,6,0
Makongeni Dispensary,MOH 731   On ART,239,1,6,0
Miguta Community Dispensary,MOH 731   On ART,29,1,6,0
Munyu Health Centre,MOH 731   On ART,92,1,6,0
Nazareth Hospital,MOH 731   On ART,1067,1,6,0
Nazareth Hospital (Ruiru),MOH 731   On ART,328,1,6,0
Ndeiya Health Centre,MOH 731   On ART,79,1,6,0
Ngenda Health Centre,MOH 731   On ART,176,1,6,0
Ngewa Health Centre,MOH 731   On ART,167,1,6,0
Ngoliba Health Centre,MOH 731   On ART,436,1,6,0
Ngorongo Health Centre,MOH 731   On ART,113,1,6,0
Nyathuna Level 4 Hospital,MOH 731   On ART,97,1,6,0
Partners In Prevention,MOH 731   On ART,43,1,6,0
Ruiru Hospital Limited,MOH 731   On ART,22,1,6,0
Ruiru Sub-County Hospital,MOH 731   On ART,1749,1,6,0
Sacred Heart Dispensary,MOH 731   On ART,410,1,6,0
Seth Medical Clinic,MOH 731   On ART,13,1,6,0
St Angela Melici Health Centre,MOH 731   On ART,29,1,6,0
St Charles Lwanga Dispensary,MOH 731   On ART,198,1,6,0
St Joseph Catholic Dispensary (Ruiru),MOH 731   On ART,221,1,6,0
St Mulumba Mission Hospital,MOH 731   On ART,595,1,6,0
Thika Level 5 Hospital,MOH 731   On ART,2827,1,6,0
Thika Nursing Home,MOH 731   On ART,95,1,6,0
Tigoni District Hospital,MOH 731   On ART,693,1,6,0
Tinganga Catholic Dispensary,MOH 731   On ART,277,1,6,0
Uthiru Health Centre,MOH 731   On ART,117,1,6,0
Wangige Sub-County Hospital,MOH 731   On ART,420,1,6,0
Abundant Medical Clinic,MOH 731   On ART,5,0,6,0
Anmer Dispensary,MOH 731   On ART,15,0,6,0
Avenue Healthcare (Thika),MOH 731   On ART,12,0,6,0
Beta Care Nursing Home,MOH 731   On ART,19,0,6,0
Boore Clinic,MOH 731   On ART,16,0,6,0
Cardinal Otunga Health Centre,MOH 731   On ART,81,0,6,0
Cianda Dispensary,MOH 731   On ART,20,0,6,0
Equity Afya Medical Clinic Thika,MOH 731   On ART,4,0,6,0
Gachege Dispensary,MOH 731   On ART,28,0,6,0
Gachororo Health Centre,MOH 731   On ART,60,0,6,0
Gakoe Health Centre,MOH 731   On ART,42,0,6,0
Gathanga Health Centre,MOH 731   On ART,39,0,6,0
Gatundu district hospital,MOH 731   On ART,386,0,6,0
Gawa Medical Clinic,MOH 731   On ART,4,0,6,0
Gichuru Dispensary,MOH 731   On ART,95,0,6,0
Gitare Health Centre (Gatundu),MOH 731   On ART,36,0,6,0
Githiga Health Centre,MOH 731   On ART,65,0,6,0
Githunguri Health Centre,MOH 731   On ART,248,0,6,0
Githunguri Health Centre (Ruiru),MOH 731   On ART,54,0,6,0
GSU Dispensary (Ruiru),MOH 731   On ART,9,0,6,0
Hamundia Health Centre,MOH 731   On ART,28,0,6,0
Holy Cross Dispensary,MOH 731   On ART,74,0,6,0
Holy family Catholic Hospital (Githunguri),MOH 731   On ART,187,0,6,0
Igegania Sub-County Hospital,MOH 731   On ART,114,0,6,0
Immaculate Heart of Mary Hospital,MOH 731   On ART,87,0,6,0
JKUAT Hospital,MOH 731   On ART,188,0,6,0
Juja Farm Health Centre,MOH 731   On ART,56,0,6,0
Kagaa Health Centre,MOH 731   On ART,1,0,6,0
Kagwe Dispensary,MOH 731   On ART,22,0,6,0
Kalimoni Mission Hospital (Juja),MOH 731   On ART,91,0,6,0
Karatu health centre,MOH 731   On ART,60,0,6,0
Karura (SDA) Dispensary,MOH 731   On ART,32,0,6,0
Karuri Level 4 Hospital,MOH 731   On ART,164,0,6,0
Kiambu County Referal Hospital,MOH 731   On ART,841,0,6,0
Kiandutu Health Centre,MOH 731   On ART,172,0,6,0
Kigumo Health Centre (Kiambu East),MOH 731   On ART,105,0,6,0
Kihara Sub County Hospital,MOH 731   On ART,198,0,6,0
Kijabe (AIC) Hospital,MOH 731   On ART,269,0,6,0
Kijabe (AIC) Hospital Marira Medical Clinic,MOH 731   On ART,372,0,6,0
Kikuyu (PCEA) Hospital,MOH 731   On ART,643,0,6,0
Lang'ata Health Centre (Ruiru),MOH 731   On ART,154,0,6,0
Lari Level 4 Hospital,MOH 731   On ART,145,0,6,0
Limuru Health Centre,MOH 731   On ART,89,0,6,0
Limuru Nursing Home,MOH 731   On ART,10,0,6,0
Lusigetti sub-county hospital,MOH 731   On ART,82,0,6,0
LVCT Health DICE (Juja),MOH 731   On ART,8,0,6,0
LVCT Health Thika,MOH 731   On ART,72,0,6,0
Makongeni Dispensary,MOH 731   On ART,107,0,6,0
Miguta Community Dispensary,MOH 731   On ART,23,0,6,0
Munyu Health Centre,MOH 731   On ART,35,0,6,0
Nazareth Hospital,MOH 731   On ART,548,0,6,0
Nazareth Hospital (Ruiru),MOH 731   On ART,149,0,6,0
Ndeiya Health Centre,MOH 731   On ART,46,0,6,0
Ngenda Health Centre,MOH 731   On ART,66,0,6,0
Ngewa Health Centre,MOH 731   On ART,72,0,6,0
Ngoliba Health Centre,MOH 731   On ART,149,0,6,0
Ngorongo Health Centre,MOH 731   On ART,52,0,6,0
Nyathuna Level 4 Hospital,MOH 731   On ART,46,0,6,0
Partners In Prevention,MOH 731   On ART,29,0,6,0
Ruiru Hospital Limited,MOH 731   On ART,4,0,6,0
Ruiru Sub-County Hospital,MOH 731   On ART,726,0,6,0
Sacred Heart Dispensary,MOH 731   On ART,177,0,6,0
Seth Medical Clinic,MOH 731   On ART,9,0,6,0
St Angela Melici Health Centre,MOH 731   On ART,11,0,6,0
St Charles Lwanga Dispensary,MOH 731   On ART,91,0,6,0
St Joseph Catholic Dispensary (Ruiru),MOH 731   On ART,91,0,6,0
St Mulumba Mission Hospital,MOH 731   On ART,315,0,6,0
Thika Level 5 Hospital,MOH 731   On ART,1169,0,6,0
Thika Nursing Home,MOH 731   On ART,45,0,6,0
Thika Sasa Centre,MOH 731   On ART,3,0,6,0
Tigoni District Hospital,MOH 731   On ART,329,0,6,0
Tinganga Catholic Dispensary,MOH 731   On ART,89,0,6,0
Uthiru Health Centre,MOH 731   On ART,45,0,6,0
Wangige Sub-County Hospital,MOH 731   On ART,185,0,6,0
